,Place,city,County,lat,lon,cordinates,Location,_id
124,Shri Kelbai Devi Temple,Goa,India,15.56419375,74.04456885,"(15.56419375, 74.04456885)","Shri Kelbai Devi Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",319396700925572510220601624933726886336
125,Dungeshwar Temple,Goa,India,14.98295475,74.03929955,"(14.98295475, 74.03929955)","Dungeshwar Temple, NH66, Talpona, South Goa, Goa, 403702, भारत",280964055856261305402989216942182593751
126,Shree Gurupradeshi Temple,Goa,India,14.9832092,74.0437057918437,"(14.9832092, 74.0437057918437)","Shree Gurupradeshi Temple, NH66, Talpona, South Goa, Goa, 403702, भारत",105434758148575820130337165331156748918
127,Shiva Temple,Goa,India,14.9992587,74.0340890557648,"(14.9992587, 74.0340890557648)","Shiva Temple, NH66, Canacona, South Goa, Goa, 403702, भारत",60643699503291372681057628186027957374
128,Shri Nageshi Temple,Goa,India,15.4074442,73.98362881203909,"(15.4074442, 73.9836288120391)","Shri Nageshi Temple, Ponda Bye Pass, Nageshi, Bandora, Ponda, North Goa, Goa, 403401, भारत",296503641063847300258205039394924309365
129,Shree Mahalaxmi Temple,Goa,India,15.54612935,74.0120932037172,"(15.54612935, 74.0120932037172)","Shree Mahalaxmi Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",152614780272822817213552846864907347869
130,Shri Manguesh Temple,Goa,India,15.4448989,73.9664141576087,"(15.4448989, 73.9664141576087)","Shri Manguesh Temple, Belgaum - Panaji Highway, Boma, North Goa, Goa, 403404, भारत",194613465896003943777781416148052514751
131,Shri Satteri Shantadurga Temple,Goa,India,15.536518,73.98728285,"(15.536518, 73.98728285)","Shri Satteri Shantadurga Temple, Amona Bridge, Amona, North Goa, Goa, 403505, भारत",288188399411403440988569473379235293744
132,Shree Ravalnath Temple,Goa,India,15.53510605,73.9611243537705,"(15.53510605, 73.9611243537705)","Shree Ravalnath Temple, Amona Bridge, Amona, North Goa, Goa, भारत",12864569153465415053138785755042016901
133,Shree Shantadurga Temple,Goa,India,15.53524905,73.9610820974452,"(15.53524905, 73.9610820974452)","Shree Shantadurga Temple, Amona Bridge, Amona, North Goa, Goa, भारत",229421720903718054972149052808833398155
134,Shri Mahalsa Narayani Temple,Goa,India,15.4405142,73.9725877693471,"(15.4405142, 73.9725877693471)","Shri Mahalsa Narayani Temple, Belgaum - Panaji Highway, Mardol, North Goa, Goa, 403404, भारत",30280028345289068661536527470075522433
135,Ranganai Temple,Goa,India,16.0789198,73.8446347,"(16.0789198, 73.8446347)","Ranganai Temple,Goa,India",274842798774620704275589718259518741209
136,Bhadrakali Temple,Goa,India,16.125386600000002,73.9438954,"(16.125386600000002, 73.9438954)","Bhadrakali Temple,Goa,India",3562314836354275651209675175773865255
137,Mauni Maharaj Temple,Goa,India,16.125695800000006,73.9444426,"(16.125695800000003, 73.9444426)","Mauni Maharaj Temple,Goa,India",136453819020855582772098984407577779024
138,Ganesh Temple,Goa,India,16.109132199999998,73.9391265,"(16.109132199999998, 73.9391265)","Ganesh Temple,Goa,India",36674234392132241827719446971273994739
139,Shri Bodgeshwar Temple,Goa,India,15.5845734,73.805936,"(15.5845734, 73.805936)","Shri Bodgeshwar Temple,Goa,India",95191644313787024435259543421218246442
140,Hanuman Temple,Goa,India,15.5910016,73.810142,"(15.5910016, 73.810142)","Hanuman Temple,Goa,India",57440023136720202669944688477859232887
141,Shri Shantadurga Temple,Goa,India,15.513065,73.7698233,"(15.513065, 73.7698233)","Shri Shantadurga Temple,Goa,India",182207245296481415140479488701248704615
142,Siddeshwar Temple,Goa,India,15.601727300000002,73.7438235,"(15.601727300000002, 73.7438235)","Siddeshwar Temple,Goa,India",281615471950224033210954884423928706562
143,Shree Mahamaya Temple,Goa,India,14.8631117,74.135715,"(14.8631117, 74.135715)","Shree Mahamaya Temple,Goa,India",21027450703349538467312337079539121307
144,Shejjeshwar Temple,Goa,India,14.8114796,74.16247790000001,"(14.8114796, 74.16247790000001)","Shejjeshwar Temple,Goa,India",275424082609679387945924967673342084926
145,Temple Garden,Goa,India,15.0033546,74.02872509999997,"(15.0033546, 74.02872509999999)","Temple Garden,Goa,India",94846902514325781990459575115586540046
146,Love Temple,Goa,India,15.6840891,73.7041429,"(15.6840891, 73.7041429)","Love Temple,Goa,India",138781082920318169459532138155713132087
147,Channabaseshwara Temple,Goa,India,15.006314300000001,74.509517,"(15.006314300000001, 74.509517)","Channabaseshwara Temple,Goa,India",220596782156845537242221325288029238257
