City,County,Place,lat,lon,rest_id,Location
Goa,India,Samiksha Bar And Restaurant,15.1869335,73.997986,865587325720283137,"Samiksha Bar And Restaurant,Goa,India"
Goa,India,Naina Bar and Family Restaurant,15.069845999999998,74.02866,18196343433922037794,"Naina Bar and Family Restaurant,Goa,India"
Goa,India,VG's Vernon Glorio Bar & Restaurant,15.224218,73.933786,2768513561918654428,"VG's Vernon Glorio Bar & Restaurant,Goa,India"
Goa,India,The Avenue - Multi Cuisine Restaurant &…,15.2179481,73.95004509999998,5126833342038229763,"The Avenue - Multi Cuisine Restaurant &…,Goa,India"
Goa,India,Mohnish Bar and Restaurant,15.588719,73.94569,5231291293664038753,"Mohnish Bar and Restaurant,Goa,India"
Goa,India,Starlite Bar And Family Restaurant,15.285696,73.95738,9739562567955861306,"Starlite Bar And Family Restaurant,Goa,India"
Goa,India,Apana Punjab Restaurant,15.598069,73.74428,9534045073003793520,"Apana Punjab Restaurant,Goa,India"
Goa,India,Zatpat Fast Food Restaurant,15.610131,74.06564,13830779765906296754,"Zatpat Fast Food Restaurant,Goa,India"
Goa,India,Ritz Classic Restaurant N Bar,15.498607000000002,73.82665300000002,16584503449024875259,"Ritz Classic Restaurant N Bar,Goa,India"
Goa,India,VIP Bar & Restaurant,15.4780921,73.92479959999999,15279752247721282547,"VIP Bar & Restaurant,Goa,India"
Goa,India,Sheela Bar & Restaurant,15.40162,73.865166,8357885286083806955,"Sheela Bar & Restaurant,Goa,India"
Goa,India,Sangeetha Restaurant,15.398448000000002,73.81152,4476245777826006916,"Sangeetha Restaurant,Goa,India"
Goa,India,Prabhat - Seafood Restaurant,15.39627,73.81049,9387748837458726272,"Prabhat - Seafood Restaurant,Goa,India"
Goa,India,Goan Nook Family Restaurant & Bar,15.506927,73.80996999999998,3004213427971247217,"Goan Nook Family Restaurant & Bar,Goa,India"
Goa,India,Hill View Bar & Restaurant,15.579498999999998,73.759169,10449785146079792268,"Hill View Bar & Restaurant,Goa,India"
Goa,India,Anand Sea Food Restaurant & Bar,15.595757999999998,73.76075,16286503318394782068,"Anand Sea Food Restaurant & Bar,Goa,India"
Goa,India,Government Rest House,15.5272455,74.12823,5198808614834946879,"Government Rest House,Goa,India"
Goa,India,Mollem Karibu Garden Restaurant,15.374995000000002,74.22835500000002,9506071570488050395,"Mollem Karibu Garden Restaurant,Goa,India"
Goa,India,Hill Breeze Bar & Restaurant,15.416484,73.987306,13095407250515315282,"Hill Breeze Bar & Restaurant,Goa,India"
Goa,India,The Bazzar Restaurant,15.32986,74.020238,8219109603256975871,"The Bazzar Restaurant,Goa,India"
Goa,India,Kamalabai Sea Food Restaurant,15.591172,73.80420600000002,16179352917770781994,"Kamalabai Sea Food Restaurant,Goa,India"
Goa,India,Stomach Bar & Restaurant,15.591257,73.814636,9821762720401212837,"Stomach Bar & Restaurant,Goa,India"
Goa,India,Udupi Restaurant,15.262435,74.044616,16239109102600275754,"Udupi Restaurant,Goa,India"
Goa,India,Azavedo Bar & Restaurant,15.291392000000002,74.04128,7656782180916743209,"Azavedo Bar & Restaurant,Goa,India"
Goa,India,Sea Pebble Restaurant,15.474414,73.84957,13290459407287272257,"Sea Pebble Restaurant,Goa,India"
Goa,India,Boom Boom Bar & Restaurant,15.6260365,73.8679507,4641710452934658654,"Boom Boom Bar & Restaurant,Goa,India"
Goa,India,Ramakrishna Bar & Restaurant,15.574042000000002,73.79335,1728629732640833877,"Ramakrishna Bar & Restaurant,Goa,India"
